# BEGIN PLOT
Legend=1
LogY=1
Title=Sum of photon energies
XLabel=$\sum{E_\gamma}$ [GeV]
YLabel=$1/\sigma \, \mathrm{d}\sigma/\mathrm{d}\sum{E_\gamma}$ [GeV$^{-1}$]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma
ScaledBy=1.00000000000000002e-03
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
2.600000e+02	3.120000e+02	4.615385e-04	9.421114e-05	9.421114e-05
3.120000e+02	3.640000e+02	4.038462e-04	8.812646e-05	8.812646e-05
3.640000e+02	4.160000e+02	4.230769e-04	9.020030e-05	9.020030e-05
4.160000e+02	4.680000e+02	7.884615e-04	1.231370e-04	1.231370e-04
4.680000e+02	5.200000e+02	6.923077e-04	1.153846e-04	1.153846e-04
5.200000e+02	5.720000e+02	8.076923e-04	1.246296e-04	1.246296e-04
5.720000e+02	6.240000e+02	6.346154e-04	1.104724e-04	1.104724e-04
6.240000e+02	6.760000e+02	7.500000e-04	1.200961e-04	1.200961e-04
6.760000e+02	7.280000e+02	6.923077e-04	1.153846e-04	1.153846e-04
7.280000e+02	7.800000e+02	1.057692e-03	1.426192e-04	1.426192e-04
7.800000e+02	8.320000e+02	8.076923e-04	1.246296e-04	1.246296e-04
8.320000e+02	8.840000e+02	8.076923e-04	1.246296e-04	1.246296e-04
8.840000e+02	9.360000e+02	9.615385e-04	1.359821e-04	1.359821e-04
9.360000e+02	9.880000e+02	7.500000e-04	1.200961e-04	1.200961e-04
9.880000e+02	1.040000e+03	1.019231e-03	1.400021e-04	1.400021e-04
1.040000e+03	1.092000e+03	8.076923e-04	1.246296e-04	1.246296e-04
1.092000e+03	1.144000e+03	6.346154e-04	1.104724e-04	1.104724e-04
1.144000e+03	1.196000e+03	6.538462e-04	1.121337e-04	1.121337e-04
1.196000e+03	1.248000e+03	5.576923e-04	1.035609e-04	1.035609e-04
1.248000e+03	1.300000e+03	3.461538e-04	8.158924e-05	8.158924e-05
1.300000e+03	1.352000e+03	5.000000e-04	9.805807e-05	9.805807e-05
1.352000e+03	1.404000e+03	6.346154e-04	1.104724e-04	1.104724e-04
1.404000e+03	1.456000e+03	3.269231e-04	7.929049e-05	7.929049e-05
1.456000e+03	1.508000e+03	3.653846e-04	8.382498e-05	8.382498e-05
1.508000e+03	1.560000e+03	3.269231e-04	7.929049e-05	7.929049e-05
1.560000e+03	1.612000e+03	3.076923e-04	7.692308e-05	7.692308e-05
1.612000e+03	1.664000e+03	3.461538e-04	8.158924e-05	8.158924e-05
1.664000e+03	1.716000e+03	2.884615e-04	7.448045e-05	7.448045e-05
1.716000e+03	1.768000e+03	1.730769e-04	5.769231e-05	5.769231e-05
1.768000e+03	1.820000e+03	1.923077e-04	6.081303e-05	6.081303e-05
1.820000e+03	1.872000e+03	1.730769e-04	5.769231e-05	5.769231e-05
1.872000e+03	1.924000e+03	9.615385e-05	4.300131e-05	4.300131e-05
1.924000e+03	1.976000e+03	9.615385e-05	4.300131e-05	4.300131e-05
1.976000e+03	2.028000e+03	1.923077e-05	1.923077e-05	1.923077e-05
2.028000e+03	2.080000e+03	1.730769e-04	5.769231e-05	5.769231e-05
2.080000e+03	2.132000e+03	1.346154e-04	5.087983e-05	5.087983e-05
2.132000e+03	2.184000e+03	7.692308e-05	3.846154e-05	3.846154e-05
2.184000e+03	2.236000e+03	3.846154e-05	2.719641e-05	2.719641e-05
2.236000e+03	2.288000e+03	5.769231e-05	3.330867e-05	3.330867e-05
2.288000e+03	2.340000e+03	1.923077e-05	1.923077e-05	1.923077e-05
2.340000e+03	2.392000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.392000e+03	2.444000e+03	5.769231e-05	3.330867e-05	3.330867e-05
2.444000e+03	2.496000e+03	1.923077e-05	1.923077e-05	1.923077e-05
2.496000e+03	2.548000e+03	3.846154e-05	2.719641e-05	2.719641e-05
2.548000e+03	2.600000e+03	3.846154e-05	2.719641e-05	2.719641e-05
# END HISTO1D

