# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of boson pair
XLabel=$\eta_{\mathrm{ZZ}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_{\mathrm{ZZ}}$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_eta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_eta
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_eta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_eta
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-2.450000e+00	-2.100000e+00	1.708663e-05	6.975587e-06	6.975587e-06
-2.100000e+00	-1.750000e+00	3.132549e-05	9.444990e-06	9.444990e-06
-1.750000e+00	-1.400000e+00	5.695543e-06	4.027357e-06	4.027357e-06
-1.400000e+00	-1.050000e+00	1.708663e-05	6.975587e-06	6.975587e-06
-1.050000e+00	-7.000000e-01	2.278217e-05	8.054714e-06	8.054714e-06
-7.000000e-01	-3.500000e-01	2.562994e-05	8.543314e-06	8.543314e-06
-3.500000e-01	0.000000e+00	1.139109e-05	5.695543e-06	5.695543e-06
0.000000e+00	3.500000e-01	1.708663e-05	6.975587e-06	6.975587e-06
3.500000e-01	7.000000e-01	1.139109e-05	5.695543e-06	5.695543e-06
7.000000e-01	1.050000e+00	1.708663e-05	6.975587e-06	6.975587e-06
1.050000e+00	1.400000e+00	1.423886e-05	6.367811e-06	6.367811e-06
1.400000e+00	1.750000e+00	5.695543e-06	4.027357e-06	4.027357e-06
1.750000e+00	2.100000e+00	2.562994e-05	8.543314e-06	8.543314e-06
2.100000e+00	2.450000e+00	1.423886e-05	6.367811e-06	6.367811e-06
2.450000e+00	2.800000e+00	1.708663e-05	6.975587e-06	6.975587e-06
2.800000e+00	3.150000e+00	5.695543e-06	4.027357e-06	4.027357e-06
3.150000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	3.850000e+00	2.847771e-06	2.847771e-06	2.847771e-06
3.850000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.250000e+00	2.847771e-06	2.847771e-06	2.847771e-06
5.250000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.950000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.950000e+00	6.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e+00	6.650000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.650000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

