# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between muons
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\mu\mathrm{1,~}\mu\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mu\mathrm{1,~}\mu\mathrm{2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dR_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dR_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dR_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dR_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dR_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dR_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dR_12
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.025150e-06	5.025149e-06	5.025149e-06
2.000000e-01	4.000000e-01	2.512575e-05	1.123658e-05	1.123658e-05
4.000000e-01	6.000000e-01	9.045270e-05	2.131991e-05	2.131991e-05
6.000000e-01	8.000000e-01	1.909557e-04	3.097710e-05	3.097710e-05
8.000000e-01	1.000000e+00	1.457294e-04	2.706126e-05	2.706126e-05
1.000000e+00	1.200000e+00	2.211066e-04	3.333307e-05	3.333307e-05
1.200000e+00	1.400000e+00	1.708551e-04	2.930141e-05	2.930141e-05
1.400000e+00	1.600000e+00	2.462323e-04	3.517605e-05	3.517605e-05
1.600000e+00	1.800000e+00	2.412072e-04	3.481526e-05	3.481526e-05
1.800000e+00	2.000000e+00	1.708551e-04	2.930141e-05	2.930141e-05
2.000000e+00	2.200000e+00	2.160814e-04	3.295211e-05	3.295211e-05
2.200000e+00	2.400000e+00	1.859306e-04	3.056680e-05	3.056680e-05
2.400000e+00	2.600000e+00	1.658299e-04	2.886729e-05	2.886729e-05
2.600000e+00	2.800000e+00	2.010060e-04	3.178184e-05	3.178184e-05
2.800000e+00	3.000000e+00	2.462323e-04	3.517605e-05	3.517605e-05
3.000000e+00	3.200000e+00	2.060311e-04	3.217666e-05	3.217666e-05
3.200000e+00	3.400000e+00	1.005030e-04	2.247316e-05	2.247316e-05
3.400000e+00	3.600000e+00	7.035210e-05	1.880239e-05	1.880239e-05
3.600000e+00	3.800000e+00	2.010060e-05	1.005030e-05	1.005030e-05
3.800000e+00	4.000000e+00	2.010060e-05	1.005030e-05	1.005030e-05
4.000000e+00	4.200000e+00	1.507545e-05	8.703815e-06	8.703815e-06
4.200000e+00	4.400000e+00	2.010060e-05	1.005030e-05	1.005030e-05
4.400000e+00	4.600000e+00	1.005030e-05	7.106636e-06	7.106636e-06
4.600000e+00	4.800000e+00	1.005030e-05	7.106636e-06	7.106636e-06
4.800000e+00	5.000000e+00	5.025150e-06	5.025149e-06	5.025149e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dR_12
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dR_12
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	4.983600e-06	4.983600e-06	4.983600e-06
2.000000e-01	4.000000e-01	2.990160e-05	1.220728e-05	1.220728e-05
4.000000e-01	6.000000e-01	7.973760e-05	1.993440e-05	1.993440e-05
6.000000e-01	8.000000e-01	8.970480e-05	2.114362e-05	2.114362e-05
8.000000e-01	1.000000e+00	2.192784e-04	3.305746e-05	3.305746e-05
1.000000e+00	1.200000e+00	1.295736e-04	2.541147e-05	2.541147e-05
1.200000e+00	1.400000e+00	1.843932e-04	3.031406e-05	3.031406e-05
1.400000e+00	1.600000e+00	2.740980e-04	3.695937e-05	3.695937e-05
1.600000e+00	1.800000e+00	1.993440e-04	3.151905e-05	3.151905e-05
1.800000e+00	2.000000e+00	2.093112e-04	3.229742e-05	3.229742e-05
2.000000e+00	2.200000e+00	1.893768e-04	3.072097e-05	3.072097e-05
2.200000e+00	2.400000e+00	1.993440e-04	3.151905e-05	3.151905e-05
2.400000e+00	2.600000e+00	2.093112e-04	3.229742e-05	3.229742e-05
2.600000e+00	2.800000e+00	2.192784e-04	3.305746e-05	3.305746e-05
2.800000e+00	3.000000e+00	2.043276e-04	3.191061e-05	3.191061e-05
3.000000e+00	3.200000e+00	2.192784e-04	3.305746e-05	3.305746e-05
3.200000e+00	3.400000e+00	8.472120e-05	2.054791e-05	2.054791e-05
3.400000e+00	3.600000e+00	5.481960e-05	1.652873e-05	1.652873e-05
3.600000e+00	3.800000e+00	1.495080e-05	8.631848e-06	8.631848e-06
3.800000e+00	4.000000e+00	2.990160e-05	1.220728e-05	1.220728e-05
4.000000e+00	4.200000e+00	4.983600e-06	4.983600e-06	4.983600e-06
4.200000e+00	4.400000e+00	4.983600e-06	4.983600e-06	4.983600e-06
4.400000e+00	4.600000e+00	9.967200e-06	7.047876e-06	7.047876e-06
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

