# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendYPos=0.5
LegendXPos=0.30
XLabel=$\Delta\eta(\mathrm{jet~2,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\mathrm{jet~2,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_deta_23 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_deta_23
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_deta_23 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_deta_23
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_deta_23
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_deta_23
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_deta_23
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.005030e-05	5.025150e-06	5.025150e-06
-4.600000e+00	-4.200000e+00	2.010060e-05	7.106635e-06	7.106635e-06
-4.200000e+00	-3.800000e+00	1.758802e-05	6.647649e-06	6.647649e-06
-3.800000e+00	-3.400000e+00	2.763833e-05	8.333269e-06	8.333269e-06
-3.400000e+00	-3.000000e+00	2.763833e-05	8.333269e-06	8.333269e-06
-3.000000e+00	-2.600000e+00	5.025150e-05	1.123658e-05	1.123658e-05
-2.600000e+00	-2.200000e+00	3.768863e-05	9.731161e-06	9.731161e-06
-2.200000e+00	-1.800000e+00	3.517605e-05	9.401193e-06	9.401193e-06
-1.800000e+00	-1.400000e+00	3.517605e-05	9.401193e-06	9.401193e-06
-1.400000e+00	-1.000000e+00	4.773893e-05	1.095206e-05	1.095206e-05
-1.000000e+00	-6.000000e-01	3.015090e-05	8.703814e-06	8.703814e-06
-6.000000e-01	-2.000000e-01	5.276408e-05	1.151406e-05	1.151406e-05
-2.000000e-01	2.000000e-01	5.276407e-05	1.151406e-05	1.151406e-05
2.000000e-01	6.000000e-01	1.005030e-04	1.589092e-05	1.589092e-05
6.000000e-01	1.000000e+00	6.030180e-05	1.230905e-05	1.230905e-05
1.000000e+00	1.400000e+00	4.271378e-05	1.035961e-05	1.035961e-05
1.400000e+00	1.800000e+00	4.020120e-05	1.005030e-05	1.005030e-05
1.800000e+00	2.200000e+00	6.030180e-05	1.230905e-05	1.230905e-05
2.200000e+00	2.600000e+00	5.025150e-05	1.123658e-05	1.123658e-05
2.600000e+00	3.000000e+00	3.015090e-05	8.703814e-06	8.703814e-06
3.000000e+00	3.400000e+00	2.763833e-05	8.333269e-06	8.333269e-06
3.400000e+00	3.800000e+00	2.763833e-05	8.333269e-06	8.333269e-06
3.800000e+00	4.200000e+00	2.261317e-05	7.537725e-06	7.537725e-06
4.200000e+00	4.600000e+00	2.763833e-05	8.333269e-06	8.333269e-06
4.600000e+00	5.000000e+00	1.507545e-05	6.154527e-06	6.154527e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_deta_23
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_deta_23
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.744260e-05	6.592683e-06	6.592683e-06
-4.600000e+00	-4.200000e+00	1.744260e-05	6.592683e-06	6.592683e-06
-4.200000e+00	-3.800000e+00	2.740980e-05	8.264366e-06	8.264366e-06
-3.800000e+00	-3.400000e+00	1.245900e-05	5.571834e-06	5.571834e-06
-3.400000e+00	-3.000000e+00	3.488520e-05	9.323462e-06	9.323462e-06
-3.000000e+00	-2.600000e+00	1.993440e-05	7.047875e-06	7.047875e-06
-2.600000e+00	-2.200000e+00	2.990160e-05	8.631849e-06	8.631849e-06
-2.200000e+00	-1.800000e+00	2.990160e-05	8.631849e-06	8.631849e-06
-1.800000e+00	-1.400000e+00	4.485240e-05	1.057181e-05	1.057181e-05
-1.400000e+00	-1.000000e+00	6.478680e-05	1.270574e-05	1.270574e-05
-1.000000e+00	-6.000000e-01	5.481960e-05	1.168758e-05	1.168758e-05
-6.000000e-01	-2.000000e-01	6.977040e-05	1.318537e-05	1.318537e-05
-2.000000e-01	2.000000e-01	7.226220e-05	1.341875e-05	1.341875e-05
2.000000e-01	6.000000e-01	6.478680e-05	1.270574e-05	1.270574e-05
6.000000e-01	1.000000e+00	3.986880e-05	9.967199e-06	9.967199e-06
1.000000e+00	1.400000e+00	5.232780e-05	1.141886e-05	1.141886e-05
1.400000e+00	1.800000e+00	5.481960e-05	1.168758e-05	1.168758e-05
1.800000e+00	2.200000e+00	4.485240e-05	1.057181e-05	1.057181e-05
2.200000e+00	2.600000e+00	5.731140e-05	1.195025e-05	1.195025e-05
2.600000e+00	3.000000e+00	2.491800e-05	7.879764e-06	7.879764e-06
3.000000e+00	3.400000e+00	3.737700e-05	9.650699e-06	9.650699e-06
3.400000e+00	3.800000e+00	2.491800e-05	7.879764e-06	7.879764e-06
3.800000e+00	4.200000e+00	2.242620e-05	7.475400e-06	7.475400e-06
4.200000e+00	4.600000e+00	2.242620e-05	7.475400e-06	7.475400e-06
4.600000e+00	5.000000e+00	9.967200e-06	4.983600e-06	4.983600e-06
# END HISTO1D

